file_name,artist,title,genre,year,duration,tempo,energy_rms,key_index,spectral_centroid,spectral_bandwidth,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,playcount,listeners
4Keus feat. S.Pri Noir - Toute la night.mp3,"4Keus,  feat. , S.Pri Noir",Toute la night,,2018-09-25,270.93333333333334,129.19921875,0.2779983580112457,4.0,2225.355989607007,2561.279788801886,0.0808704482512577,-98.06959533691406,94.15080261230467,48.18733215332031,26.526151657104492,16.810388565063477,12.311117172241213,1.4950726032257076,9.332018852233888,-6.5176310539245605,3.6423754692077637,-0.5775420665740967,2.3035016059875484,1.266079306602478,85.0,29.999999999985448
4keus Gang - O'KCLH.mp3,4keus Gang,O'KCLH,,2017-09-29,292.6759183673469,117.45383522727272,0.1771041303873062,8.0,2469.3492035143568,2602.004366609689,0.1012941720684984,-94.32186889648438,85.47813415527344,5.469681739807129,15.883368492126465,1.457302451133728,2.795199394226074,-0.6201476454734802,2.825359344482422,-13.237526893615724,10.35045051574707,-2.0759806632995605,1.9998420476913448,-2.6959357261657715,63734.0,8115.0
6ix9ine & Nicki Minaj - TROLLZ.mp3,"6ix9ine,  & , Nicki Minaj",TROLLZ,rap;trap;pop,2020-06-12,215.40571428571428,89.10290948275862,0.230920135974884,1.0,2698.501805183457,3042.6757996394376,0.0810493965267027,-126.86561584472656,77.78292083740234,43.68111038208008,15.934440612792969,16.362533569335938,0.7460126876831055,7.185405731201172,10.272472381591797,-2.5582165718078613,5.839737892150879,3.291055679321289,3.9050855636596684,-0.7512668967247009,377703.0,68986.0
Aaron Waters - The Mighty RAW - Power Rangers.mp3,"Aaron Waters,  - , The Mighty RAW",Power Rangers,,1994-12-02,215.22285714285715,103.359375,0.3055512607097626,0.0,2171.3416537795147,2544.709051536363,0.0818205558847716,-50.00139236450195,97.0730438232422,7.18183708190918,16.345815658569336,6.960330009460449,2.122588396072388,3.022323846817016,-5.370994567871094,-7.437973976135254,3.381685256958008,-5.098424434661865,1.560577154159546,-2.955817937850952,1811.0,344.0
Adekunle Gold - Pick Up.mp3,Adekunle Gold,Pick Up,,2016-07-28,207.4122448979592,107.666015625,0.1350807398557663,1.0,2410.503261403848,2537.959475706638,0.0964763629547213,-102.2096710205078,86.79974365234375,-2.054208993911743,17.598190307617188,2.922385931015014,3.967918157577514,-1.1071401834487915,5.0506744384765625,-6.872395515441895,6.652822971343994,-3.0903446674346924,1.9311209917068481,0.33374789357185364,8649.0,1869.0
Adele - Someone Like You.mp3,Adele,Someone Like You,pop;soul;rock;contemporary;alternative,2011-01-19,285.0220408163265,135.99917763157896,0.1184235662221908,1.0,1371.48553629013,1630.7355003668374,0.0641275411788893,-209.882064819336,145.03396606445312,-9.510378837585451,1.9688678979873657,6.526236534118652,-6.805093288421631,-6.687273025512695,-3.4242923259735107,-8.32128620147705,-2.6627483367919926,-15.459366798400879,-1.3132565021514893,-15.74110221862793,21721061.0,2118631.0
Alec Benjamin - Let Me Down Slowly.mp3,Alec Benjamin,Let Me Down Slowly,pop;rap,2018-05-25,177.36,151.99908088235293,0.1150933131575584,3.0,1871.255467920528,2274.850955273701,0.0734587394785216,-195.0272827148437,122.95413970947266,19.223859786987305,14.443796157836914,18.106143951416016,-16.662857055664062,-6.452312469482422,-3.7024567127227774,-7.1696858406066895,3.632018089294433,-16.389928817749023,1.6808322668075562,-10.557917594909668,7833559.0,755138.0
Alex Warren - Ordinary.mp3,Alex Warren,Ordinary,pop;folk;ballad;rock;soul,2024-09-27,186.984,112.34714673913044,0.2202493101358413,4.0,1457.4854107443996,1951.7404714474424,0.0519987407483552,-148.89962768554688,123.7656478881836,16.11617660522461,21.454490661621094,10.757859230041504,1.883884310722351,-14.2647123336792,-6.602028846740723,-10.486457824707031,-4.518853664398193,-1.3504823446273804,-0.4229862987995147,-2.5835413932800293,6655119.0,656036.0
Alicia Keys - New Day.mp3,Alicia Keys,New Day,rnb;soul;rock;alternative,2013-06-28,225.3583673469388,129.19921875,0.1672026067972183,5.0,2148.11244686628,2209.580399410309,0.1001645492695433,-104.95459747314452,89.10926818847656,-22.430049896240234,21.880455017089844,-0.4880119860172272,1.5859798192977903,-5.467085361480713,8.422246932983398,-6.410555362701416,5.407380104064941,-2.3577401638031006,2.665403127670288,-3.257309913635254,369819.0,69819.0
Alicia Keys featuring Nicki Minaj - Girl on Fire (Inferno version).m4a,Alicia Keys featuring Nicki Minaj,Girl on Fire (Inferno version),,,232.9425850340136,92.28515625,0.1350825428962707,9.0,1905.6402661876923,1964.2331644905296,0.0937050267269736,-170.48294067382812,106.38136291503906,-25.09330177307129,11.72317886352539,6.950342655181885,-12.903403282165527,1.3864269256591792,-5.464187145233155,-13.571560859680176,6.601763725280762,-17.17137336730957,-3.9600698947906494,-5.360574722290039,60551.0,13431.0
